time_sec,substrate_0dot1,substrate_0dot3,substrate_0dot9,substrate_1dot5
5,215,151.4,163,194.3
10,215,151.6,163.1,194.2
15,215,151.9,163.3,194.2
20,215,152.1,163.5,194.3
25,215,152.2,163.6,194.4
30,215,152.2,163.8,194.5
35,215,152.4,163.9,194.6
40,215,152.5,164,194.7
45,215,152.6,164.1,194.8
50,215,152.6,164.1,194.9
55,215,152.7,164.1,195
60,215,152.8,164.1,195
65,215,152.9,164.1,195.1
70,215,152.9,164.1,195.1
75,214,153,164,195.1
80,214,153,164,195.1
85,214,153,164,195
90,214,153.1,164.1,195
95,214,153.1,164.1,195
100,214,153.1,164.2,195
105,213,153.2,164.2,195
110,213,153.2,164.3,195
115,213,153.2,164.4,195
120,213,153.2,164.5,195
125,213,153.2,164.5,195
130,213,153.2,164.6,195
135,213,153.3,164.7,195
140,213,153.3,164.7,195
145,213,153.3,164.8,195
150,213,153.3,164.9,195
155,213,153.3,165,195.1
160,213,153.3,165.1,195.1
165,212,153.3,165.2,194.9
170,212,153.3,165.3,194.7
175,212,153.3,165.4,194.7
180,213,153.4,165.5,194.7
185,213,153.4,165.6,194.7
190,213,153.4,165.7,194.7
195,213,153.4,165.8,194.7
200,213,153.4,165.8,194.8
205,213,153.4,165.9,194.8
210,213,153.4,166,194.8
215,213,153.3,166,194.8
220,213,153.3,166.1,194.9
225,213,153.3,166.2,194.9
230,213,153.3,166.2,195
235,213,153.4,166.3,195
240,213,153.4,166.3,194.6
245,212,153.4,166.4,194.6
250,212,153.4,166.8,194.6
255,357,782,446,1486
260,360,537,886,1482
265,363,539,906,1496
270,364,541,920,1500
275,366,542,929,1503
280,367,543,937,1506
285,368,544,945,1509
290,369,545,951,1514
295,370,546,957,1519
300,371,547,962,1526
305,372,548,968,1532
310,373,549,972,1540
315,373,550,976,1546
320,374,551,980,1551
325,375,552,984,1557
330,375,553,987,1562
335,376,554,990,1568
340,377,554,992,1572
345,377,555,995,1576
350,378,556,997,1580
355,378,557,999,1583
360,379,558,1001,1586
365,380,558,1003,1589
370,380,559,1006,1592
375,381,560,1009,1595
380,381,561,1011,1597
385,382,562,1014,1600
390,382,562,1017,1602
395,383,563,1020,1604
400,383,564,1023,1606
405,384,565,1026,1609
410,384,565,1029,1611
415,384,566,1033,1612
420,385,567,1035,1614
425,385,567,1038,1616
430,386,568,1041,1617
435,386,569,1044,1619
440,386,569,1046,1620
445,386,570,1049,1621
450,387,571,1051,1622
455,387,571,1053,1624
460,387,572,1056,1625
465,388,572,1058,1626
470,388,573,1060,1627
475,388,573,1062,1628
480,388,574,1063,1629
485,388,574,1065,1629
490,388,575,1067,1630
495,388,575,1069,1631
500,389,576,1070,1632
505,389,576,1072,1633
